,0,1,2,3
22,m_3311815_nw_11_060_20180723_20190208.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/33118/m_3311815_nw_11_060_20180723_20190208.tif,m_3311815_nw_11_060_20180723,ca_60cm_2018_33118_m_3311815_nw_11_060_20180723_20190208
23,m_3311815_sw_11_060_20180723_20190209.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/33118/m_3311815_sw_11_060_20180723_20190209.tif,m_3311815_sw_11_060_20180723,ca_60cm_2018_33118_m_3311815_sw_11_060_20180723_20190209
24,m_3311822_ne_11_060_20180723_20190209.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/33118/m_3311822_ne_11_060_20180723_20190209.tif,m_3311822_ne_11_060_20180723,ca_60cm_2018_33118_m_3311822_ne_11_060_20180723_20190209
25,m_3712205_ne_10_060_20180723_20190209.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/37122/m_3712205_ne_10_060_20180723_20190209.tif,m_3712205_ne_10_060_20180723,ca_60cm_2018_37122_m_3712205_ne_10_060_20180723_20190209
26,m_3712205_se_10_060_20180723_20190209.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/37122/m_3712205_se_10_060_20180723_20190209.tif,m_3712205_se_10_060_20180723,ca_60cm_2018_37122_m_3712205_se_10_060_20180723_20190209
27,m_3712206_sw_10_060_20180723_20190210.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/37122/m_3712206_sw_10_060_20180723_20190210.tif,m_3712206_sw_10_060_20180723,ca_60cm_2018_37122_m_3712206_sw_10_060_20180723_20190210
28,m_3812262_se_10_060_20180723_20190210.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/38122/m_3812262_se_10_060_20180723_20190210.tif,m_3812262_se_10_060_20180723,ca_60cm_2018_38122_m_3812262_se_10_060_20180723_20190210
29,m_3812263_sw_10_060_20180723_20190210.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/38122/m_3812263_sw_10_060_20180723_20190210.tif,m_3812263_sw_10_060_20180723,ca_60cm_2018_38122_m_3812263_sw_10_060_20180723_20190210
30,m_3812264_se_10_060_20180715_20190210.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/38122/m_3812264_se_10_060_20180715_20190210.tif,m_3812264_se_10_060_20180715,ca_60cm_2018_38122_m_3812264_se_10_060_20180715_20190210
31,m_3812264_sw_10_060_20180715_20190210.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/38122/m_3812264_sw_10_060_20180715_20190210.tif,m_3812264_sw_10_060_20180715,ca_60cm_2018_38122_m_3812264_sw_10_060_20180715_20190210
32,m_4110858_se_12_060_20190827.tif,https://naipeuwest.blob.core.windows.net/naip/v002/co/2019/co_60cm_2019/41108/m_4110858_se_12_060_20190827.tif,m_4110858_se_12_060_20190827,co_60cm_2019_41108_m_4110858_se_12_060_20190827
33,m_4207260_se_18_060_20180823.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ct/2018/ct_060cm_2018/42072/m_4207260_se_18_060_20180823.tif,m_4207260_se_18_060_20180823,ct_060cm_2018_42072_m_4207260_se_18_060_20180823
34,m_3208433_nw_16_060_20191003.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ga/2019/ga_60cm_2019/32084/m_3208433_nw_16_060_20191003.tif,m_3208433_nw_16_060_20191003,ga_60cm_2019_32084_m_3208433_nw_16_060_20191003
35,m_4009129_ne_15_060_20190708.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ia/2019/ia_60cm_2019/40091/m_4009129_ne_15_060_20190708.tif,m_4009129_ne_15_060_20190708,ia_60cm_2019_40091_m_4009129_ne_15_060_20190708
36,m_4109029_sw_15_060_20190802.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ia/2019/ia_60cm_2019/41090/m_4109029_sw_15_060_20190802.tif,m_4109029_sw_15_060_20190802,ia_60cm_2019_41090_m_4109029_sw_15_060_20190802
37,m_4109035_ne_15_060_20190801.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ia/2019/ia_60cm_2019/41090/m_4109035_ne_15_060_20190801.tif,m_4109035_ne_15_060_20190801,ia_60cm_2019_41090_m_4109035_ne_15_060_20190801
38,m_4209027_se_15_060_20190801.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ia/2019/ia_60cm_2019/42090/m_4209027_se_15_060_20190801.tif,m_4209027_se_15_060_20190801,ia_60cm_2019_42090_m_4209027_se_15_060_20190801
39,m_4009129_ne_15_060_20190708.tif,https://naipeuwest.blob.core.windows.net/naip/v002/il/2019/il_60cm_2019/40091/m_4009129_ne_15_060_20190708.tif,m_4009129_ne_15_060_20190708,il_60cm_2019_40091_m_4009129_ne_15_060_20190708
40,m_4109029_sw_15_060_20190802.tif,https://naipeuwest.blob.core.windows.net/naip/v002/il/2019/il_60cm_2019/41090/m_4109029_sw_15_060_20190802.tif,m_4109029_sw_15_060_20190802,il_60cm_2019_41090_m_4109029_sw_15_060_20190802
41,m_4109035_ne_15_060_20190801.tif,https://naipeuwest.blob.core.windows.net/naip/v002/il/2019/il_60cm_2019/41090/m_4109035_ne_15_060_20190801.tif,m_4109035_ne_15_060_20190801,il_60cm_2019_41090_m_4109035_ne_15_060_20190801
42,m_4209027_se_15_060_20190801.tif,https://naipeuwest.blob.core.windows.net/naip/v002/il/2019/il_60cm_2019/42090/m_4209027_se_15_060_20190801.tif,m_4209027_se_15_060_20190801,il_60cm_2019_42090_m_4209027_se_15_060_20190801
43,m_3708701_se_16_060_20180905_20190221.tif,https://naipeuwest.blob.core.windows.net/naip/v002/in/2018/in_060cm_2018/37087/m_3708701_se_16_060_20180905_20190221.tif,m_3708701_se_16_060_20180905,in_060cm_2018_37087_m_3708701_se_16_060_20180905_20190221
44,m_3708701_sw_16_060_20180905_20181211.tif,https://naipeuwest.blob.core.windows.net/naip/v002/in/2018/in_060cm_2018/37087/m_3708701_sw_16_060_20180905_20181211.tif,m_3708701_sw_16_060_20180905,in_060cm_2018_37087_m_3708701_sw_16_060_20180905_20181211
45,m_3708704_nw_16_060_20180725_20190221.tif,https://naipeuwest.blob.core.windows.net/naip/v002/in/2018/in_060cm_2018/37087/m_3708704_nw_16_060_20180725_20190221.tif,m_3708704_nw_16_060_20180725,in_060cm_2018_37087_m_3708704_nw_16_060_20180725_20190221
46,m_3708704_sw_16_060_20180725_20181211.tif,https://naipeuwest.blob.core.windows.net/naip/v002/in/2018/in_060cm_2018/37087/m_3708704_sw_16_060_20180725_20181211.tif,m_3708704_sw_16_060_20180725,in_060cm_2018_37087_m_3708704_sw_16_060_20180725_20181211
47,m_3708711_ne_16_060_20180725_20190221.tif,https://naipeuwest.blob.core.windows.net/naip/v002/in/2018/in_060cm_2018/37087/m_3708711_ne_16_060_20180725_20190221.tif,m_3708711_ne_16_060_20180725,in_060cm_2018_37087_m_3708711_ne_16_060_20180725_20190221
48,m_3708712_nw_16_060_20180725_20181211.tif,https://naipeuwest.blob.core.windows.net/naip/v002/in/2018/in_060cm_2018/37087/m_3708712_nw_16_060_20180725_20181211.tif,m_3708712_nw_16_060_20180725,in_060cm_2018_37087_m_3708712_nw_16_060_20180725_20181211
49,m_3708716_sw_16_060_20180929_20190221.tif,https://naipeuwest.blob.core.windows.net/naip/v002/in/2018/in_060cm_2018/37087/m_3708716_sw_16_060_20180929_20190221.tif,m_3708716_sw_16_060_20180929,in_060cm_2018_37087_m_3708716_sw_16_060_20180929_20190221
50,m_3808542_se_16_060_20180630_20190202.tif,https://naipeuwest.blob.core.windows.net/naip/v002/in/2018/in_060cm_2018/38085/m_3808542_se_16_060_20180630_20190202.tif,m_3808542_se_16_060_20180630,in_060cm_2018_38085_m_3808542_se_16_060_20180630_20190202
51,m_3808542_sw_16_060_20180727_20181214.tif,https://naipeuwest.blob.core.windows.net/naip/v002/in/2018/in_060cm_2018/38085/m_3808542_sw_16_060_20180727_20181214.tif,m_3808542_sw_16_060_20180727,in_060cm_2018_38085_m_3808542_sw_16_060_20180727_20181214
52,m_3808543_ne_16_060_20180904_20190202.tif,https://naipeuwest.blob.core.windows.net/naip/v002/in/2018/in_060cm_2018/38085/m_3808543_ne_16_060_20180904_20190202.tif,m_3808543_ne_16_060_20180904,in_060cm_2018_38085_m_3808543_ne_16_060_20180904_20190202
53,m_3808549_se_16_060_20180727_20190201.tif,https://naipeuwest.blob.core.windows.net/naip/v002/in/2018/in_060cm_2018/38085/m_3808549_se_16_060_20180727_20190201.tif,m_3808549_se_16_060_20180727,in_060cm_2018_38085_m_3808549_se_16_060_20180727_20190201
54,m_3808550_nw_16_060_20180727_20190201.tif,https://naipeuwest.blob.core.windows.net/naip/v002/in/2018/in_060cm_2018/38085/m_3808550_nw_16_060_20180727_20190201.tif,m_3808550_nw_16_060_20180727,in_060cm_2018_38085_m_3808550_nw_16_060_20180727_20190201
55,m_4108614_se_16_060_20180708_20181211.tif,https://naipeuwest.blob.core.windows.net/naip/v002/in/2018/in_060cm_2018/41086/m_4108614_se_16_060_20180708_20181211.tif,m_4108614_se_16_060_20180708,in_060cm_2018_41086_m_4108614_se_16_060_20180708_20181211
56,m_4108615_sw_16_060_20180708_20181211.tif,https://naipeuwest.blob.core.windows.net/naip/v002/in/2018/in_060cm_2018/41086/m_4108615_sw_16_060_20180708_20181211.tif,m_4108615_sw_16_060_20180708,in_060cm_2018_41086_m_4108615_sw_16_060_20180708_20181211
57,m_4108616_sw_16_060_20180707_20181211.tif,https://naipeuwest.blob.core.windows.net/naip/v002/in/2018/in_060cm_2018/41086/m_4108616_sw_16_060_20180707_20181211.tif,m_4108616_sw_16_060_20180707,in_060cm_2018_41086_m_4108616_sw_16_060_20180707_20181211
58,m_3708701_se_16_060_20180905.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ky/2018/ky_060cm_2018/37087/m_3708701_se_16_060_20180905.tif,m_3708701_se_16_060_20180905,ky_060cm_2018_37087_m_3708701_se_16_060_20180905
59,m_3708701_sw_16_060_20180905.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ky/2018/ky_060cm_2018/37087/m_3708701_sw_16_060_20180905.tif,m_3708701_sw_16_060_20180905,ky_060cm_2018_37087_m_3708701_sw_16_060_20180905
60,m_3708704_nw_16_060_20180725.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ky/2018/ky_060cm_2018/37087/m_3708704_nw_16_060_20180725.tif,m_3708704_nw_16_060_20180725,ky_060cm_2018_37087_m_3708704_nw_16_060_20180725
61,m_3708704_sw_16_060_20180725.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ky/2018/ky_060cm_2018/37087/m_3708704_sw_16_060_20180725.tif,m_3708704_sw_16_060_20180725,ky_060cm_2018_37087_m_3708704_sw_16_060_20180725
62,m_3708711_ne_16_060_20180725.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ky/2018/ky_060cm_2018/37087/m_3708711_ne_16_060_20180725.tif,m_3708711_ne_16_060_20180725,ky_060cm_2018_37087_m_3708711_ne_16_060_20180725
63,m_3708712_nw_16_060_20180725.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ky/2018/ky_060cm_2018/37087/m_3708712_nw_16_060_20180725.tif,m_3708712_nw_16_060_20180725,ky_060cm_2018_37087_m_3708712_nw_16_060_20180725
64,m_3708716_sw_16_060_20180929.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ky/2018/ky_060cm_2018/37087/m_3708716_sw_16_060_20180929.tif,m_3708716_sw_16_060_20180929,ky_060cm_2018_37087_m_3708716_sw_16_060_20180929
65,m_3808542_se_16_060_20180630.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ky/2018/ky_060cm_2018/38085/m_3808542_se_16_060_20180630.tif,m_3808542_se_16_060_20180630,ky_060cm_2018_38085_m_3808542_se_16_060_20180630
66,m_3808542_sw_16_060_20180727.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ky/2018/ky_060cm_2018/38085/m_3808542_sw_16_060_20180727.tif,m_3808542_sw_16_060_20180727,ky_060cm_2018_38085_m_3808542_sw_16_060_20180727
67,m_3808543_ne_16_060_20180904.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ky/2018/ky_060cm_2018/38085/m_3808543_ne_16_060_20180904.tif,m_3808543_ne_16_060_20180904,ky_060cm_2018_38085_m_3808543_ne_16_060_20180904
68,m_3808549_se_16_060_20180727.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ky/2018/ky_060cm_2018/38085/m_3808549_se_16_060_20180727.tif,m_3808549_se_16_060_20180727,ky_060cm_2018_38085_m_3808549_se_16_060_20180727
69,m_3808550_nw_16_060_20180727.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ky/2018/ky_060cm_2018/38085/m_3808550_nw_16_060_20180727.tif,m_3808550_nw_16_060_20180727,ky_060cm_2018_38085_m_3808550_nw_16_060_20180727
70,m_4107114_nw_19_060_20180827.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ma/2018/ma_060cm_2018/41071/m_4107114_nw_19_060_20180827.tif,m_4107114_nw_19_060_20180827,ma_060cm_2018_41071_m_4107114_nw_19_060_20180827
71,m_4107114_sw_19_060_20180827.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ma/2018/ma_060cm_2018/41071/m_4107114_sw_19_060_20180827.tif,m_4107114_sw_19_060_20180827,ma_060cm_2018_41071_m_4107114_sw_19_060_20180827
72,m_4107123_sw_19_060_20180827.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ma/2018/ma_060cm_2018/41071/m_4107123_sw_19_060_20180827.tif,m_4107123_sw_19_060_20180827,ma_060cm_2018_41071_m_4107123_sw_19_060_20180827
73,m_4207140_se_19_060_20181016.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ma/2018/ma_060cm_2018/42071/m_4207140_se_19_060_20181016.tif,m_4207140_se_19_060_20181016,ma_060cm_2018_42071_m_4207140_se_19_060_20181016
74,m_4207140_sw_19_060_20181016.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ma/2018/ma_060cm_2018/42071/m_4207140_sw_19_060_20181016.tif,m_4207140_sw_19_060_20181016,ma_060cm_2018_42071_m_4207140_sw_19_060_20181016
75,m_4207260_se_18_060_20180823.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ma/2018/ma_060cm_2018/42072/m_4207260_se_18_060_20180823.tif,m_4207260_se_18_060_20180823,ma_060cm_2018_42072_m_4207260_se_18_060_20180823
76,m_4207140_se_19_060_20181016.tif,https://naipblobs.blob.core.windows.net/naip/v002/ma/2018/ma_60cm_2018/42071/m_4207140_se_19_060_20181016.tif,m_4207140_se_19_060_20181016,ma_60cm_2018_42071_m_4207140_se_19_060_20181016
77,m_4207140_sw_19_060_20181016.tif,https://naipblobs.blob.core.windows.net/naip/v002/ma/2018/ma_60cm_2018/42071/m_4207140_sw_19_060_20181016.tif,m_4207140_sw_19_060_20181016,ma_60cm_2018_42071_m_4207140_sw_19_060_20181016
78,m_3807730_se_18_060_20181025.tif,https://naipeuwest.blob.core.windows.net/naip/v002/md/2018/md_060cm_2018/38077/m_3807730_se_18_060_20181025.tif,m_3807730_se_18_060_20181025,md_060cm_2018_38077_m_3807730_se_18_060_20181025
79,m_4108614_se_16_060_20180708_20181211.tif,https://naipeuwest.blob.core.windows.net/naip/v002/mi/2018/mi_060cm_2018/41086/m_4108614_se_16_060_20180708_20181211.tif,m_4108614_se_16_060_20180708,mi_060cm_2018_41086_m_4108614_se_16_060_20180708_20181211
80,m_4108615_sw_16_060_20180708_20181211.tif,https://naipeuwest.blob.core.windows.net/naip/v002/mi/2018/mi_060cm_2018/41086/m_4108615_sw_16_060_20180708_20181211.tif,m_4108615_sw_16_060_20180708,mi_060cm_2018_41086_m_4108615_sw_16_060_20180708_20181211
81,m_4108616_sw_16_060_20180707_20181211.tif,https://naipeuwest.blob.core.windows.net/naip/v002/mi/2018/mi_060cm_2018/41086/m_4108616_sw_16_060_20180707_20181211.tif,m_4108616_sw_16_060_20180707,mi_060cm_2018_41086_m_4108616_sw_16_060_20180707_20181211
