,tile_name,tile_path,tile_dimensions,NW_coordinates_lonlat_tile,SE_coordinates_lonlat_tile
23,m_3110348_sw_13_060_20180924,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3110348_sw_13_060_20180924.tif,"[11590, 11775, 4]","[-103.12784837018815, 31.31481766736801]","[-103.05961491518505, 31.247656336466793]"
24,m_4811117_nw_12_060_20190729,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4811117_nw_12_060_20190729.tif,"[10429, 10927, 4]","[-112.00403970743747, 48.75234867972188]","[-111.9336023648935, 48.68512182560798]"
25,m_3411946_ne_11_060_20180724,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3411946_ne_11_060_20180724.tif,"[11427, 11699, 4]","[-119.31589974008202, 34.37759814096738]","[-119.24664300989485, 34.30995175704547]"
26,m_4307662_ne_18_060_20190802,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4307662_ne_18_060_20190802.tif,"[10860, 11270, 4]","[-76.31633012176584, 43.127506095482175]","[-76.24625075407428, 43.05997642525743]"
27,m_3209609_nw_14_060_20181120,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3209609_nw_14_060_20181120.tif,"[11545, 11770, 4]","[-97.00305649274136, 32.877415230288925]","[-96.934399110832, 32.81007044171201]"
28,m_4208445_se_16_060_20180707,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4208445_se_16_060_20180707.tif,"[11696, 12237, 4]","[-84.44328937823066, 42.3171749903328]","[-84.36863084677017, 42.24581739590404]"
29,m_4007431_sw_18_060_20190917,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4007431_sw_18_060_20190917.tif,"[11020, 11302, 4]","[-74.2530694257102, 40.56475985747319]","[-74.18437077489541, 40.49777548145974]"
30,m_3808916_se_16_060_20190713,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3808916_se_16_060_20190713.tif,"[11654, 11976, 4]","[-89.06734231458977, 38.81683389483706]","[-88.99471546909275, 38.746159938212706]"
31,m_4107211_se_18_060_20180930,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4107211_se_18_060_20180930.tif,"[11571, 12205, 4]","[-72.69344586340885, 41.81654645341948]","[-72.61898494402051, 41.74595379221633]"
32,m_3209610_se_14_060_20181126,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3209610_se_14_060_20181126.tif,"[11587, 11824, 4]","[-96.81569147538659, 32.81503016922999]","[-96.74676146391919, 32.747481906279695]"
33,m_3809742_ne_14_060_20190712,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3809742_ne_14_060_20190712.tif,"[11448, 11826, 4]","[-97.816483843288, 38.378377178158374]","[-97.74545322578192, 38.30961713768547]"
34,m_3909461_nw_15_060_20180922,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3909461_nw_15_060_20180922.tif,"[11451, 11873, 4]","[-94.50485130492959, 39.128534579969006]","[-94.43271318695312, 39.058960670700934]"
35,m_4211204_se_12_060_20190718,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4211204_se_12_060_20190718.tif,"[10911, 11350, 4]","[-112.56654903704684, 42.940159978650925]","[-112.49598224701549, 42.872322840643875]"
36,m_3809023_se_15_060_20190923,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3809023_se_15_060_20190923.tif,"[11966, 12384, 4]","[-90.19300311337855, 38.69228538267373]","[-90.11892524147508, 38.620708080135984]"
37,m_4711954_ne_11_060_20190730,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4711954_ne_11_060_20190730.tif,"[10684, 11391, 4]","[-119.31791494744581, 47.253126393586875]","[-119.24464242378134, 47.18440204149666]"
38,m_3511940_se_11_060_20180713,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3511940_se_11_060_20180713.tif,"[11328, 11598, 4]","[-119.0657842473577, 35.43996246024133]","[-118.99676459498306, 35.37254971535494]"
