,tile_name,tile_path,tile_dimensions,NW_coordinates_lonlat_tile,SE_coordinates_lonlat_tile
544,m_4207253_sw_18_060_20181019,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4207253_sw_18_060_20181019.tif,"[11591, 12267, 4]","[-72.50619293430353, 42.1916584919207]","[-72.4312406930601, 42.12083699542541]"
545,m_3708801_ne_16_060_20190912,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3708801_ne_16_060_20190912.tif,"[11505, 11942, 4]","[-88.9421094482709, 38.003757661569885]","[-88.86994630783693, 37.93423544671749]"
546,m_4812211_ne_10_060_20191010,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4812211_ne_10_060_20191010.tif,"[10403, 10759, 4]","[-122.69062310693964, 48.87700708131175]","[-122.62181150003703, 48.81047256420811]"
547,m_4008841_sw_16_060_20191001,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4008841_sw_16_060_20191001.tif,"[11526, 12048, 4]","[-89.00546060664824, 40.31682506494534]","[-88.93160225068308, 40.246167012940816]"
548,m_2909006_ne_15_060_20190707,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_2909006_ne_15_060_20190707.tif,"[12173, 12458, 4]","[-90.31684236487963, 30.004041568880783]","[-90.24510989890652, 29.93395024867329]"
549,m_4108840_nw_16_060_20190809,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4108840_nw_16_060_20190809.tif,"[11130, 11728, 4]","[-88.12970414467357, 41.50333005772926]","[-88.05735349032591, 41.434668811695744]"
550,m_4108320_sw_17_060_20191008,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4108320_sw_17_060_20191008.tif,"[11150, 11700, 4]","[-83.6299976404151, 41.69079477130524]","[-83.55754035470117, 41.62174388845846]"
551,m_3110142_ne_14_060_20190105,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3110142_ne_14_060_20190105.tif,"[11671, 11914, 4]","[-101.81603242763947, 31.37778960352981]","[-101.74654045788331, 31.309715122957794]"
552,m_4408725_sw_16_060_20180911,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4408725_sw_16_060_20180911.tif,"[10998, 11506, 4]","[-88.00489771607099, 44.565759564718924]","[-87.93268587297042, 44.496736214994726]"
553,m_4207025_se_19_060_20181016,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4207025_se_19_060_20181016.tif,"[11270, 11861, 4]","[-70.94317093307811, 42.56629802330709]","[-70.86939701952177, 42.4962003646337]"
554,m_3709764_se_14_060_20190712,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3709764_se_14_060_20190712.tif,"[11868, 12130, 4]","[-97.06703440697461, 37.06678148471993]","[-96.9949063638579, 36.996211488210236]"
555,m_3411601_se_11_060_20180818,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3411601_se_11_060_20180818.tif,"[11058, 11170, 4]","[-116.93922567401836, 34.93894187037578]","[-116.87321526811354, 34.87359340067486]"
556,m_3509846_se_14_060_20190629,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3509846_se_14_060_20190629.tif,"[11706, 11802, 4]","[-98.31584592800074, 35.31608913864707]","[-98.24609419725175, 35.246904831519124]"
557,m_4409209_nw_15_060_20190731,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4409209_nw_15_060_20190731.tif,"[10754, 11268, 4]","[-93.00379009702267, 44.87771157010262]","[-92.9331323653121, 44.81027724072623]"
558,m_3907401_ne_18_060_20190730,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3907401_ne_18_060_20190730.tif,"[10909, 11102, 4]","[-74.93990782959135, 40.00184441686049]","[-74.87251674045795, 39.93562497714632]"
559,m_4409708_sw_14_060_20181015,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4409708_sw_14_060_20181015.tif,"[10855, 11378, 4]","[-97.12903748363402, 44.939926242520364]","[-97.05841543636012, 44.872550686476515]"
560,m_3708712_nw_16_060_20180725,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3708712_nw_16_060_20180725.tif,"[11295, 11756, 4]","[-87.62895152355232, 37.87803082967129]","[-87.55810462833459, 37.80996236224559]"
561,m_4107916_nw_17_060_20190917,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4107916_nw_17_060_20190917.tif,"[11368, 12094, 4]","[-79.13049034791666, 41.878798403859186]","[-79.0564376981219, 41.80919148496254]"
562,m_4010443_nw_13_060_20190803,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4010443_nw_13_060_20190803.tif,"[10927, 11141, 4]","[-104.752596684519, 40.37696697879091]","[-104.68486335813405, 40.31053481325392]"
563,m_3907512_ne_18_060_20180815,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3907512_ne_18_060_20180815.tif,"[11176, 11506, 4]","[-75.56603171470654, 39.877996012470966]","[-75.49602576156855, 39.8099980527737]"
564,m_3909450_ne_15_060_20180923,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3909450_ne_15_060_20180923.tif,"[11488, 11953, 4]","[-94.81765642119831, 39.25370881426538]","[-94.74490599248098, 39.18378878626371]"
565,m_4208449_nw_16_060_20180707,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4208449_nw_16_060_20180707.tif,"[11372, 12130, 4]","[-85.0056633205157, 42.2538746957586]","[-84.931258488085, 42.184119781951246]"
566,m_3708806_sw_16_060_20190914,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3708806_sw_16_060_20190914.tif,"[11593, 11972, 4]","[-88.37962841128687, 37.941455055090685]","[-88.30742231042953, 37.871534988167426]"
567,m_4810233_se_13_060_20190705,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4810233_se_13_060_20190705.tif,"[10809, 11545, 4]","[-102.94279325163524, 48.44050179414876]","[-102.86963777447163, 48.3720104222513]"
568,m_3510827_sw_12_060_20180510,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3510827_sw_12_060_20180510.tif,"[11471, 11778, 4]","[-108.75348117118305, 35.5651017244381]","[-108.68395662817743, 35.49738953047745]"
569,m_3308634_nw_16_060_20190909,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3308634_nw_16_060_20190909.tif,"[11299, 11428, 4]","[-86.87724824135027, 33.501909485571545]","[-86.81017447869746, 33.435592922129565]"
570,m_4208817_se_16_060_20180924,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4208817_se_16_060_20180924.tif,"[11262, 11855, 4]","[-88.94318244246963, 42.69130019592066]","[-88.86938615569711, 42.621195591116766]"
571,m_3907513_nw_18_060_20191019,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3907513_nw_18_060_20191019.tif,"[11148, 11632, 4]","[-75.50397063466086, 39.87796748629894]","[-75.43308505348374, 39.81003166191743]"
572,m_3408119_ne_17_060_20190724,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3408119_ne_17_060_20190724.tif,"[11509, 11756, 4]","[-81.69080510776523, 34.75305234451914]","[-81.62123655053513, 34.68494558513131]"
573,m_3909104_se_15_060_20180927,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3909104_se_15_060_20180927.tif,"[11495, 11944, 4]","[-91.56736658588696, 39.941039349217554]","[-91.4950688858234, 39.87145969883402]"
574,m_4209034_ne_15_060_20190801,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4209034_ne_15_060_20190801.tif,"[11415, 12054, 4]","[-90.8178884378473, 42.50396303601476]","[-90.7440357204555, 42.4340256829649]"
575,m_4207609_nw_18_060_20190918,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4207609_nw_18_060_20190918.tif,"[10978, 11489, 4]","[-77.00456804109386, 42.87794819295617]","[-76.93302139685089, 42.80958402914567]"
576,m_3110238_sw_13_060_20180924,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3110238_sw_13_060_20180924.tif,"[11727, 11973, 4]","[-102.37838332709772, 31.44020080765909]","[-102.3090488286698, 31.372290990705714]"
577,m_3607624_nw_18_060_20181001,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3607624_nw_18_060_20181001.tif,"[11444, 11933, 4]","[-76.12930072762691, 36.753308136953855]","[-76.05774662939456, 36.68468648542244]"
578,m_3907651_se_18_060_20181025,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3907651_se_18_060_20181025.tif,"[11572, 11862, 4]","[-76.6920384034351, 39.191626853471206]","[-76.62002153494811, 39.12137078861469]"
579,m_3712206_sw_10_060_20180723,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3712206_sw_10_060_20180723.tif,"[11005, 11199, 4]","[-122.3772894931119, 37.939230250990406]","[-122.31016843038785, 37.87327202861003]"
580,m_3411762_sw_11_060_20180822,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3411762_sw_11_060_20180822.tif,"[11138, 11267, 4]","[-117.3769412671335, 34.06405311892019]","[-117.31058114679239, 33.99845284728527]"
581,m_4710315_ne_13_060_20190718,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4710315_ne_13_060_20190718.tif,"[10796, 11458, 4]","[-103.19241119040774, 47.87786903587054]","[-103.11998381043828, 47.80962660183282]"
582,m_2909055_sw_15_060_20190830,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_2909055_sw_15_060_20190830.tif,"[12398, 12669, 4]","[-90.25482671482983, 29.192071064271627]","[-90.18212660143156, 29.120926186958844]"
583,m_3209240_sw_15_060_20190903,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3209240_sw_15_060_20190903.tif,"[11885, 12112, 4]","[-92.12881402084582, 32.44117729976849]","[-92.0581290157094, 32.37181716426843]"
584,m_4208947_se_16_060_20190802,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4208947_se_16_060_20190802.tif,"[11424, 11888, 4]","[-89.19290357398587, 42.31692959418016]","[-89.1191607154785, 42.246065232042554]"
585,m_3311823_nw_11_060_20180723,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3311823_nw_11_060_20180723.tif,"[11299, 11479, 4]","[-118.2525713752185, 33.75203009427127]","[-118.18496080978866, 33.685479809532964]"
586,m_3808135_se_17_060_20180709,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3808135_se_17_060_20180709.tif,"[11371, 11687, 4]","[-81.69155313724939, 38.44057281030214]","[-81.62100315929, 38.37193056749894]"
587,m_4809707_nw_14_060_20180901,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4809707_nw_14_060_20180901.tif,"[10576, 11194, 4]","[-97.25428752866908, 49.002354662243974]","[-97.1831077810437, 48.93510496769037]"
588,m_3907515_ne_18_060_20190726,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3907515_ne_18_060_20190726.tif,"[10924, 11115, 4]","[-75.19002677946688, 39.876917975826345]","[-75.12255766403952, 39.8106083530251]"
589,m_4709521_ne_15_060_20190723,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4709521_ne_15_060_20190723.tif,"[10833, 11726, 4]","[-95.44400925100449, 47.75407341068095]","[-95.36806704646817, 47.68391511988886]"
590,m_4207557_nw_18_060_20190918,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4207557_nw_18_060_20190918.tif,"[10888, 11237, 4]","[-76.0034637107017, 42.12735609919683]","[-75.93411619988466, 42.060162582797304]"
591,m_3907917_sw_17_060_20181111,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3907917_sw_17_060_20181111.tif,"[11415, 11804, 4]","[-80.00443270137339, 39.69078648326102]","[-79.93300065196621, 39.621708671523876]"
592,m_3009131_se_15_060_20190726,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3009131_se_15_060_20190726.tif,"[12167, 12250, 4]","[-91.1913387288787, 30.566621882980286]","[-91.12061032723622, 30.49637274146812]"
593,m_3209440_nw_15_060_20181102,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3209440_nw_15_060_20181102.tif,"[11342, 11490, 4]","[-94.1273932867616, 32.50191912474759]","[-94.06015027026133, 32.43554232518892]"
594,m_4108540_sw_16_060_20180708,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4108540_sw_16_060_20180708.tif,"[11582, 12141, 4]","[-85.13046981233474, 41.44179981201769]","[-85.05645922825904, 41.37119712880677]"
595,m_3209527_se_15_060_20181115,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3209527_se_15_060_20181115.tif,"[11586, 11853, 4]","[-95.69104972682075, 32.56522339582592]","[-95.62150418528013, 32.49724456535442]"
596,m_3710124_ne_14_060_20190704,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3710124_ne_14_060_20190704.tif,"[11540, 11983, 4]","[-101.06719205112176, 37.753820544705135]","[-100.99486474052951, 37.68416732847045]"
597,m_4610438_se_13_060_20190627,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4610438_se_13_060_20190627.tif,"[10641, 11031, 4]","[-104.3159243963185, 46.439724375833]","[-104.24652658127295, 46.37278033665942]"
598,m_4108363_ne_17_060_20191008,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4108363_ne_17_060_20191008.tif,"[11125, 11598, 4]","[-83.19200683205455, 41.12801493472998]","[-83.12056113576527, 41.059483251922195]"
599,m_2709847_se_14_060_20181209,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_2709847_se_14_060_20181209.tif,"[11567, 11659, 4]","[-98.18951611505372, 27.31425916105032]","[-98.12295084630593, 27.248219197219733]"
600,m_3812130_nw_10_060_20180714,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3812130_nw_10_060_20180714.tif,"[11173, 11487, 4]","[-121.37817451219169, 38.62729022271172]","[-121.30923926831807, 38.56023950491996]"
601,m_3510125_se_14_060_20180922,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3510125_se_14_060_20180922.tif,"[11461, 11805, 4]","[-101.94148797439978, 35.56544365909283]","[-101.87107239944274, 35.497080181542195]"
602,m_4208302_ne_17_060_20180703,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4208302_ne_17_060_20180703.tif,"[11272, 12006, 4]","[-83.8186190757177, 43.004288176492494]","[-83.74344161758721, 42.93370715770126]"
603,m_4609224_ne_15_060_20190928,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4609224_ne_15_060_20190928.tif,"[10857, 11434, 4]","[-92.06703654357898, 46.75325295046726]","[-91.99488107018574, 46.68473901544084]"
604,m_4208923_ne_16_060_20181004,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4208923_ne_16_060_20181004.tif,"[11290, 11924, 4]","[-89.19345842551238, 42.75394369828242]","[-89.1191214913524, 42.68355959614941]"
605,m_3210517_nw_13_060_20181104,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3210517_nw_13_060_20181104.tif,"[11311, 11453, 4]","[-106.0023138765043, 32.75187440299446]","[-105.93522018011733, 32.68561264032098]"
606,m_4409643_sw_14_060_20180922,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4409643_sw_14_060_20180922.tif,"[10980, 11535, 4]","[-96.75435188285242, 44.315175612685614]","[-96.68311120058782, 44.24736293273217]"
607,m_3808550_nw_16_060_20180727,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3808550_nw_16_060_20180727.tif,"[11427, 11957, 4]","[-85.87941360671721, 38.253349611286986]","[-85.8075147089094, 38.184637934609825]"
608,m_3110237_nw_13_060_20180924,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3110237_nw_13_060_20180924.tif,"[11701, 11939, 4]","[-102.50330543708813, 31.502657197789766]","[-102.43413483118815, 31.43486560045103]"
609,m_4007424_nw_18_060_20190830,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4007424_nw_18_060_20190830.tif,"[11032, 11345, 4]","[-74.12821233111632, 40.75230750001562]","[-74.05919316759147, 40.68519269105559]"
610,m_4008616_sw_16_060_20180713,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4008616_sw_16_060_20180713.tif,"[11401, 11802, 4]","[-86.12940542472295, 40.81622022296153]","[-86.05751737437016, 40.74677494086496]"
611,m_4007950_sw_17_060_20190918,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4007950_sw_17_060_20190918.tif,"[11494, 11914, 4]","[-79.87959882398157, 40.19135984029072]","[-79.80732588298677, 40.12163492542015]"
612,m_4109261_sw_15_060_20190827,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4109261_sw_15_060_20190827.tif,"[11303, 11659, 4]","[-92.50405554347253, 41.066001946848196]","[-92.43286865361728, 40.99698888893568]"
613,m_3110309_se_13_060_20180929,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3110309_se_13_060_20180929.tif,"[11405, 11562, 4]","[-103.93982184041323, 31.814417296587035]","[-103.87258557547915, 31.748094109552326]"
614,m_4610306_se_13_060_20181018,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4610306_se_13_060_20181018.tif,"[10696, 11229, 4]","[-103.31648670598307, 46.939839132495806]","[-103.2459482579891, 46.872649187599514]"
615,m_4108242_ne_17_060_20190825,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4108242_ne_17_060_20190825.tif,"[11052, 11487, 4]","[-82.81668162518754, 41.37778404900745]","[-82.7459008250183, 41.30968387290869]"
616,m_4110458_ne_13_060_20190824,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4110458_ne_13_060_20190824.tif,"[10871, 11091, 4]","[-104.81507440381806, 41.12694351742869]","[-104.74734812929115, 41.060560775850014]"
617,m_3710034_se_14_060_20190704,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3710034_se_14_060_20190704.tif,"[11706, 11957, 4]","[-100.81696375797674, 37.44168296496937]","[-100.74508540838069, 37.371313603809966]"
618,m_4809707_nw_14_060_20190723,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4809707_nw_14_060_20190723.tif,"[10853, 11842, 4]","[-97.25634617182457, 49.003723365245705]","[-97.18055806315925, 48.934265333387245]"
619,m_4510813_sw_12_060_20190831,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4510813_sw_12_060_20190831.tif,"[11077, 11792, 4]","[-108.50543568762397, 45.815765141798536]","[-108.43199115580555, 45.74677424752147]"
620,m_4409308_se_15_060_20190731,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4409308_se_15_060_20190731.tif,"[10958, 11156, 4]","[-93.06586540356554, 44.94071167530444]","[-92.99619848258568, 44.87228133436528]"
621,m_4408646_sw_16_060_20180725,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4408646_sw_16_060_20180725.tif,"[11116, 11569, 4]","[-86.37944862950687, 44.316077011272334]","[-86.30746802474079, 44.24691514906841]"
622,m_3807723_nw_18_060_20181025,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3807723_nw_18_060_20181025.tif,"[11489, 12141, 4]","[-77.25547275995615, 38.753954013945034]","[-77.18158733912085, 38.684036739269914]"
623,m_3108805_sw_16_060_20181029,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3108805_sw_16_060_20181029.tif,"[11426, 11605, 4]","[-88.50263986002297, 31.93960928180447]","[-88.43486366492516, 31.872878582994367]"
624,m_4311631_sw_11_060_20190714,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4311631_sw_11_060_20190714.tif,"[10828, 11183, 4]","[-116.2532760288754, 43.56473022836711]","[-116.18411846491067, 43.49776824079367]"
625,m_3809426_sw_15_060_20190628,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3809426_sw_15_060_20190628.tif,"[11628, 12080, 4]","[-94.88014405490894, 38.56674244732182]","[-94.80691485064119, 38.49625350303661]"
626,m_3407749_nw_18_060_20181024,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3407749_nw_18_060_20181024.tif,"[11995, 12416, 4]","[-78.00556946964501, 34.254294540965965]","[-77.93198772853896, 34.18320800026311]"
627,m_4007556_sw_18_060_20191015,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4007556_sw_18_060_20191015.tif,"[11258, 11539, 4]","[-75.1286385240684, 40.19075063830062]","[-75.05841866145707, 40.12224093181633]"
628,m_3908450_se_16_060_20180630,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3908450_se_16_060_20180630.tif,"[11802, 12163, 4]","[-84.81749784031058, 39.19194145553392]","[-84.74443667512632, 39.12104893700576]"
629,m_3009060_sw_15_060_20190831,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3009060_sw_15_060_20190831.tif,"[12291, 12563, 4]","[-90.6296703381283, 30.066910000007677]","[-90.55727757901039, 29.99608473256943]"
630,m_2508029_se_17_060_20191126,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_2508029_se_17_060_20191126.tif,"[11745, 11824, 4]","[-80.43977833869079, 25.56457608825959]","[-80.37269696276448, 25.497942942790708]"
631,m_4009224_sw_15_060_20190804,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4009224_sw_15_060_20190804.tif,"[11408, 11807, 4]","[-92.1293989689208, 40.69121689060019]","[-92.05752977351953, 40.621776613457875]"
632,m_4207609_ne_18_060_20190918,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4207609_ne_18_060_20190918.tif,"[10966, 11470, 4]","[-76.94197826295472, 42.877907595795016]","[-76.87056770008918, 42.809635137706195]"
633,m_3008824_nw_16_060_20191115,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3008824_nw_16_060_20191115.tif,"[11574, 11740, 4]","[-88.12786129455996, 30.752338771604062]","[-88.05970102768761, 30.685142352103778]"
634,m_3707746_ne_18_060_20180826,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3707746_ne_18_060_20180826.tif,"[11602, 12061, 4]","[-77.31736417015821, 37.37895532649784]","[-77.24468245820613, 37.30903985880661]"
635,m_3008832_sw_16_060_20191115,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3008832_sw_16_060_20191115.tif,"[11585, 11739, 4]","[-88.12781345763011, 30.564859677402232]","[-88.05972171472227, 30.497661283310872]"
636,m_4110249_se_13_060_20180915,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4110249_se_13_060_20180915.tif,"[11130, 11558, 4]","[-102.94135518880965, 41.1900479139435]","[-102.87114229292192, 41.122435270668035]"
637,m_4009806_nw_14_060_20180710,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4009806_nw_14_060_20180710.tif,"[10830, 11071, 4]","[-98.37744768625852, 41.00174409292052]","[-98.3099922805022, 40.935757228518064]"
638,m_4108144_sw_17_060_20191012,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4108144_sw_17_060_20191012.tif,"[10888, 11173, 4]","[-81.62804198583999, 41.31462503847723]","[-81.55952952759812, 41.24786034702725]"
639,m_4107113_se_19_060_20180930,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4107113_se_19_060_20180930.tif,"[11397, 12029, 4]","[-71.44357830155055, 41.81658540755291]","[-71.36899002494093, 41.74591630211201]"
640,m_3310110_nw_14_060_20180924,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3310110_nw_14_060_20180924.tif,"[11541, 11849, 4]","[-101.87877109023592, 33.87787288599579]","[-101.8087505819339, 33.80967262723438]"
641,m_3909452_sw_15_060_20180922,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3909452_sw_15_060_20180922.tif,"[11464, 11904, 4]","[-94.62997502181314, 39.191101595517104]","[-94.55759243958695, 39.12139466952713]"
642,m_3909450_ne_15_060_20190714,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3909450_ne_15_060_20190714.tif,"[11402, 11865, 4]","[-94.8171348654228, 39.25369800609523]","[-94.744918908393, 39.18430032183219]"
643,m_4207140_se_19_060_20181016,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4207140_se_19_060_20181016.tif,"[11297, 11901, 4]","[-71.06828366117617, 42.44137166988846]","[-70.994286007877, 42.37112986386599]"
644,m_4307636_ne_18_060_20190918,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4307636_ne_18_060_20190918.tif,"[10879, 11333, 4]","[-76.56662314055946, 43.50269244829971]","[-76.49590392577821, 43.43480649538845]"
645,m_3109125_nw_15_060_20190902,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3109125_nw_15_060_20190902.tif,"[11766, 12155, 4]","[-92.00384804903253, 31.62823685751473]","[-91.93310624044044, 31.559759205870332]"
