categories,values
all_objects_count,102466
closed_roof_tank_count,52881
narrow_closed_roof_tank_count,34901
external_floating_roof_tank_count,7222
spherical_tank_count,1108
sedimentation_tank_count,4532
water_tower_count,1092
undefined_object,730
