X,Y,FID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period_,Latitude,Longitude,Link_Impor
-95.126797,29.731441,90,385,DEER PARK REFINING LTD PARTNERSHIP,DEER PARK REFINING LTD PTNRSHP,Deer Park,Texas,3,340,180,80,60,0,69.4,20,300.6,92,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.731441,-95.126797,1
-101.880991,35.95563,91,386,DIAMOND SHAMROCK REFINING CO LP,VALERO ENERGY CORP,Sunray,Texas,3,200,50,54.5,29,0,47,12.8,131.5,0,12,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,35.95563,-101.880991,0
-98.188265,28.45921,92,387,DIAMOND SHAMROCK REFINING CO LP,VALERO ENERGY CORP,Three Rivers,Texas,3,91,33.5,23.8,28,0,33.5,10,79,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,28.45921,-98.188265,1
-104.946497,39.803311,93,391,SUNCOR ENERGY (USA) INC,SUNCOR ENERGY INC,Commerce City West,Colorado,4,73,25,21,0,0,10.9,0,76.4,0,12.3,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,39.803311,-104.946497,1
-93.271135,30.241215,94,392,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Westlake,Louisiana,3,273,125,51.6,0,0,48,9,267,65.2,4,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,30.241215,-93.271135,1
-108.490143,45.78057,95,393,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Billings,Montana,4,65.9,44.8,22.7,0,0,13.6,11.3,80.9,21.7,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,45.78057,-108.490143,1
-97.079264,36.675939,96,394,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Ponca City,Oklahoma,2,222.9,89,76.9,0,0,53.6,17.6,240.1,27.4,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,36.675939,-97.079264,1
-104.78975,41.127132,97,403,HOLLYFRONTIER CHEYENNE REFINING LLC,HOLLYFRONTIER CORP,Cheyenne,Wyoming,4,52,28,13.5,0,0,9.2,4.2,38,13.7,16,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,41.127132,-104.78975,1
-93.962546,29.857368,98,434,PREMCOR REFINING GROUP INC,VALERO ENERGY CORP,Port Arthur,Texas,3,415,220,75,134.8,0,55,19.5,331.3,103,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.857368,-93.962546,1
-92.673774,33.199731,99,442,LION OIL CO,DELEK GROUP LTD,El Dorado,Arkansas,3,85,45,21,0,0,15.3,12.5,92.8,0,20.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,33.199731,-92.673774,1
-95.251761,29.701556,100,444,HOUSTON REFINING LP,ACCESS INDUSTRIES,Houston,Texas,3,296.3,196.5,110,0,0,0,11.3,409.3,100.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.701556,-95.251761,1
-147.748499,64.85276,101,461,PETRO STAR INC,ARCTIC SLOPE REGIONAL CORP,North Pole,Alaska,5,22.5,0,0,0,0,0,0,0,0,3,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,64.85276,-147.748499,0
-146.381762,61.081919,102,462,PETRO STAR INC,ARCTIC SLOPE REGIONAL CORP,Valdez,Alaska,5,60,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,61.081919,-146.381762,0
-93.332596,30.181174,103,465,CITGO PETROLEUM CORP,PDV AMERICA INC,Lake Charles,Louisiana,3,440,230,151,51.2,0,113.2,56.1,398.2,110,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,30.181174,-93.332596,1
-97.428434,27.809474,104,478,CITGO REFINING & CHEMICAL INC,PDV AMERICA INC,Corpus Christi,Texas,3,163.5,85.3,83.8,0,0,51.5,23.1,268.1,44.9,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,27.809474,-97.428434,1
