qqname,state,year
m_2909515_se_15_060_20201130,TX,2020
m_2909515_sw_15_060_20201130,TX,2020
m_2909516_sw_15_060_20201118,TX,2020
m_2909522_ne_15_060_20201130,TX,2020
m_2909523_nw_15_060_20201130,TX,2020
m_2909523_ne_15_060_20201130,TX,2020
m_2909524_nw_15_060_20201118,TX,2020
m_2909514_se_15_060_20201130,TX,2020
