,tile_name,tile_path,tile_heights,tile_widths,tile_bands,min_utmx,min_utmy,max_utmx,max_utmy,utm_projection,min_lon_tile,min_lat_tile,max_lon_tile,max_lat_tile
19,m_3808542_sw_16_060_20180727,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3808542_sw_16_060_20180727.tif,12766,10330,4,598052.7000000001,4241510.7,604250.1000000001,4233851.7,EPSG:26916,-85.87837395826108,38.3163496084978,-85.80862413088167,38.24663881973122
20,m_3310236_ne_13_060_20180928,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3310236_ne_13_060_20180928.tif,12290,10470,4,726282.3,3709667.7,732563.7000000001,3702294.3000000003,EPSG:26913,-102.56406945788513,33.5026373792679,-102.49841642775658,33.434847606545176
21,m_4008114_sw_17_060_20191012,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4008114_sw_17_060_20191012.tif,12260,9500,4,468144.3,4518209.7,473843.7,4510854.3,EPSG:26917,-81.37771806682767,40.81428320092555,-81.3098323780192,40.74822389062279
22,m_4008040_ne_17_060_20190918,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4008040_ne_17_060_20190918.tif,12566,9886,4,579181.5,4484034.3,585112.5,4476495.3,EPSG:26917,-80.06548855646811,40.503244576910554,-79.99651126496926,40.434748444870564
23,m_3110348_sw_13_060_20180924,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3110348_sw_13_060_20180924.tif,12230,10620,4,678276.3,3466007.7,684647.7000000001,3458670.3000000003,EPSG:26913,-103.12653995446172,31.31481781362457,-103.06097135180737,31.247657531163643
24,m_4811117_nw_12_060_20190729,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4811117_nw_12_060_20190729.tif,12350,8480,4,426198.3,5400347.7,431285.7,5392938.3,EPSG:26912,-112.0040387963385,48.7517669860869,-111.93360272788104,48.685702656986734
25,m_3411946_ne_11_060_20180724,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3411946_ne_11_060_20180724.tif,12280,10350,4,287058.3,3806315.7,293267.7,3798948.3000000003,EPSG:26911,-119.31589936545309,34.3763392541562,-119.24664176164347,34.311207351800554
26,m_4307662_ne_18_060_20190802,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4307662_ne_18_060_20190802.tif,12360,9320,4,392928.3,4775729.7,398519.7,4768314.3,EPSG:26918,-76.31632948601415,43.12673639110755,-76.24625108351982,43.06074706007197
27,m_3209609_nw_14_060_20181120,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3209609_nw_14_060_20181120.tif,12250,10480,4,686958.3,3639467.7,693245.7000000001,3632118.3000000003,EPSG:26914,-97.00157132485052,32.87741539141975,-96.93593607326221,32.810070890333094
28,m_4208445_se_16_060_20180707,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4208445_se_16_060_20180707.tif,12919,9877,4,710925.3,4688165.7,716850.9,4680414.9,EPSG:26916,-84.44046586156084,42.317175260725875,-84.37153434279743,42.24581652789611
